馬名,前走,2走前,3走前,4走前
ブルーリヴァーサル,牡6/栗 58.0kg 野中 悠太郎,2026年5月17日 新潟 1勝クラス 8着 11頭8番11番人気 ☆長浜 鴻緒 57.0kg 1200ダ 1:14.1 良 468kg 1111 3F 36.6 スーパーバイザー(1.8),2026年5月2日 東京 1勝クラス 16着 16頭5番16番人気 的場 勇人 58.0kg 1400ダ 1:27.8 重 470kg 1615 3F 37.2 キョウエイスレーヴ(2.8),2026年4月19日 福島 1勝クラス 6着 15頭15番15番人気 的場 勇人 58.0kg 1150ダ 1:09.2 良 462kg 1414 3F 36.0 キーガッツ(0.8)
ソニックブレイカー,牡3/鹿 55.0kg 戸崎 圭太,2026年6月28日 福島 1勝クラス 2着 14頭7番2番人気 戸崎 圭太 55.0kg 1150ダ 1:08.3 良 430kg 1010 3F 36.2 スターランウェイ(0.0),2026年5月31日 東京 1勝クラス 5着 13頭7番3番人気 横山 武史 57.0kg 1400ダ 1:25.3 良 434kg 32 3F 37.2 トヨサカエ(0.8),2026年4月19日 中山 未勝利 1着 16頭13番3番人気 横山 武史 57.0kg 1200ダ 1:11.0 良 430kg 11 3F 37.0 エリンフレーム(0.9)
ディヴァインスカイ,牡3/栗 55.0kg 津村 明秀,2026年4月25日 福島 雪うさぎ賞 1勝ク 7着 16頭9番6番人気 丸山 元気 57.0kg 1200芝 1:08.5 良 490kg 1111 3F 34.6 ロジケープ(0.7),2026年2月14日 東京 1勝クラス 11着 16頭8番10番人気 石川 裕紀人 57.0kg 1400芝 1:22.5 良 490kg 32 3F 34.6 トラスコンガーデン(0.6),2025年12月13日 中山 黒松賞 1勝ク 9着 13頭7番7番人気 吉田 豊 56.0kg 1200芝 1:09.0 良 478kg 88 3F 34.0 マーブルパレス(0.8)
ベアアッコチャン,牝3/青鹿 53.0kg 大野 拓弥,2026年4月11日 中山 1勝クラス 8着 16頭16番5番人気 木幡 巧也 55.0kg 1200ダ 1:11.8 稍重 458kg 87 3F 36.8 タカスタカスタカス(1.7),2026年3月29日 中山 1勝クラス 5着 13頭1番5番人気 大野 拓弥 55.0kg 1200ダ 1:12.3 稍重 466kg 1211 3F 36.4 コックピットサイト(0.5),2026年1月12日 中山 1勝クラス 10着 11頭8番10番人気 大野 拓弥 55.0kg 1200芝 1:09.0 良 472kg 1011 3F 33.6 ヒシアイラ(0.8)
ノアスペシャル,牝5/鹿 56.0kg 木幡 巧也,2026年3月15日 中京 牝1勝クラス 4着 16頭9番12番人気 菊沢 一樹 56.0kg 1400ダ 1:24.4 良 462kg 1212 3F 35.6 アクアマリーナ(0.5),2026年2月21日 東京 1勝クラス 4着 16頭12番12番人気 田辺 裕信 56.0kg 1400ダ 1:25.1 良 456kg 1313 3F 35.8 スナッピードレッサ(1.6),2025年10月12日 東京 牝1勝クラス 7着 15頭4番12番人気 木幡 巧也 56.0kg 1400ダ 1:25.9 良 448kg 66 3F 36.7 モーニングマジック(0.9)
ロイヤルスパイア,牡3/鹿 55.0kg 坂井 瑠星,2026年6月28日 福島 1勝クラス 3着 14頭1番5番人気 松山 弘平 55.0kg 1150ダ 1:08.5 良 464kg 11 3F 37.4 スターランウェイ(0.2),2026年3月29日 中京 未勝利 1着 15頭7番1番人気 川田 将雅 57.0kg 1200ダ 1:13.0 良 460kg 33 3F 36.6 ザキノフレンズ(0.1),2026年3月14日 中山 未勝利 2着 16頭13番1番人気 横山 武史 57.0kg 1200ダ 1:12.3 良 460kg 32 3F 38.1 ミルトハーバー(0.5)
トワイライトサイト,牡3/栗 55.0kg 小崎 綾也,2026年4月11日 中山 1勝クラス 12着 16頭15番9番人気 三浦 皇成 57.0kg 1200ダ 1:13.1 稍重 416kg 1112 3F 37.7 タカスタカスタカス(3.0),2026年3月7日 中山 1勝クラス 9着 15頭8番8番人気 横山 和生 57.0kg 1200ダ 1:12.0 重 420kg 1513 3F 36.5 レッドスティンガー(1.6),2025年12月6日 中山 新馬 1着 16頭5番1番人気 横山 和生 56.0kg 1200ダ 1:13.1 良 424kg 22 3F 37.6 ナックスプレンダー(0.4)
アンプイットアップ,牡3/栗 55.0kg 荻野 極,2026年5月16日 東京 1勝クラス 16着 16頭15番10番人気 菅原 明良 57.0kg 1400ダ 1:28.5 良 498kg 11 3F 41.5 ショーリバース(4.0),2026年4月12日 阪神 1勝クラス 13着 16頭10番14番人気 団野 大成 57.0kg 1400ダ 1:25.1 稍重 494kg 55 3F 37.7 リサシテーション(1.3),2026年3月7日 阪神 1勝クラス 7着 12頭2番9番人気 富田 暁 57.0kg 1200ダ 1:12.9 稍重 490kg 55 3F 38.2 メイショウバルク(1.2)
ナインオブレター,牡4/栗 58.0kg 吉田 豊,2026年5月24日 新潟 1勝クラス 11着 15頭1番14番人気 ▲石神 深道 55.0kg 1200ダ 1:12.8 稍重 468kg 46 3F 38.0 リッキースタイル(1.4),2026年4月11日 福島 1勝クラス 12着 15頭5番7番人気 △長浜 鴻緒 56.0kg 1700ダ 1:48.4 良 476kg 91089 3F 40.5 ルージュマローネ(2.7),2026年3月14日 中山 1勝クラス 8着 16頭11番6番人気 △長浜 鴻緒 56.0kg 1200ダ 1:12.0 良 480kg 22 3F 37.7 アイアムイチバン(0.7)
トリスティ,牝3/鹿 50.0kg ★谷原 柚希,2026年4月5日 中山 1勝クラス 13着 14頭2番13番人気 ★谷原 柚希 51.0kg 1200芝 1:10.3 重 466kg 77 3F 35.4 ガラベイヤ(1.5),2026年3月8日 中山 1勝クラス 11着 11頭9番11番人気 ▲佐藤 翔馬 52.0kg 1600芝 1:34.6 良 476kg 677 3F 35.4 ディールメーカー(1.1),2026年2月22日 東京 1勝クラス 10着 12頭10番10番人気 佐々木 大輔 55.0kg 1600芝 1:35.4 良 476kg 77 3F 36.3 ゴーラッキー(2.2)
